名称,休止開始日,休止終了日
津市クリーンセンターおおたか,2014/12/31,2015/1/4
松阪市第一清掃工場,2014/12/31,2015/1/4
松阪市第二清掃工場,2014/12/31,2015/1/4
松阪市最終処分場,2014/12/31,2015/1/4
