label,sublabel,description,styles,bgcolor
燃えるごみ,,,,#ea3b13
燃えないごみ,,,,#733b96
拠点収集Ａ,,,,#77ae1f
拠点収集Ｂ,,,,#2dc7aa
容器包装プラスチック,,,,#bbe400
ペットボトル,,,,#81d12e
飲料用アルミ缶,,,,#27a047
白色トレー,,,,#08b925
